"Linguistic trait","LinguistictraitID","Linguistic components"
"Vŭglarevo 1: 78","74171",""
"Vŭglarevo 1: 77","74169",""
"f","74168",""
"Vŭglarevo 1: 76","74167",""
"snɤ̀hɨ","74166",""
"Vŭglarevo 1: 75","74165",""
"Vŭglarevo 1: 74","74164",""
"sèsri","74163",""
"gul’àmə̥","74161",""
"Vŭglarevo 1: 73","74162",""
"Vŭglarevo 1: 72","74160",""
"tajfà","74159",""
"Vŭglarevo 1: 71","74158",""
"p’etnàjse","74157",""
"Vŭglarevo 1: 70","74156",""
"d’èkərə","74155",""
"b’è̝me","74154",""
"kaləbəlɤ̀k","74152",""
"Vŭglarovo 1: 69","74153",""
"Vŭglarevo 1: 68","74151",""
"izjəd’è̝m","74150",""
"s’è̝nnem","74149",""
"Vŭglarevo 1: 67","74148",""
"duši̥","74147",""
"iskàrəž","74146",""
"upeč’è","74145",""
"fùrnətə","74144",""
"l’àbuve","74142",""
"Vŭglarevo 1: 66","74143",""
"Vŭglarevo 1: 65","74141",""
"m’è̝tneš","74140",""
"Vŭglarevo 1: 64","74139",""
"Vŭglarevo 1: 63","74138",""
"t’è̝gleš’e","74137",""
"Vŭglarevo 1: 62","74136",""
"t’è̝glen","74135",""
"Vŭglarevo 1: 61","74134",""
"m’àrkə","74133",""
"n’è̝məše","74131",""
"bjer def s1 /a/","74130","CONDITIONS →›ⓜ Morpheme Type›definite article, CONDITIONS →›ⓢ Stress›stressed, Phonology →›Vowels →›Historical Slavic Vowels →›back jer ⓜ ⓢ ℝ, REALIZATIONS →/as/›/a/"
"/e/ > /’ə/","74129","Phonology →›Vowels →›Transformations of Specific Vowels →›/e/ > /’ə/"
"сменям","74128",""
"преместя","74127",""
"понатъка","74126",""
"зъбци","74125",""
"метален","74124",""
"бърдило","74123",""
"пълничък","74122",""
"димитно","74121",""
"лито","74120",""
"казак","74119",""
"запазвам","74118",""
"жица","74117",""
"навтуря","74116",""
"калам","74115",""
"преснова","74114",""
"сглобявам","74113",""
"сглобя","74112",""
"навра","74111",""
"вдлъбна","74110",""
"потъна","74109",""
"отъка","74108",""
"аршинка","74107",""
"препреча","74106",""
"гърчуля","74105",""
"гърча","74104",""
"претъкавам","74103",""
"сновалка","74102",""
"насуча","74101",""
"врътка","74100",""
"смотая","74099",""
"измуцвам","74098",""
"замуцам","74097",""
"тегля","74096",""
"вързалка","74095",""
"муцам","74094",""
"връткам","74093",""
"разчепкам","74092",""
"очепкам","74091",""
"žəlzàtə","74090",""
"tòlkə","74088",""
"Vŭglarevo 1: 60","74089",""
"udd’èl’əme","74087",""
"hl’àbuve","74085",""
"Vŭglarevo 1: 59","74086",""
"Vŭglarevo 1: 58","74084",""
"pudèleni","74083",""
"udel’è̝ni","74082",""
"Vŭglarevo 1: 57","74081",""
"pitnàese","74080",""
"m’è̝tnəš","74079",""
"m’èlnicətə","74077",""
"Vŭglarovo 2: 172","74078",""
"Vŭglarevo 2: 171","74076",""
"jàsno","74075",""
"Vŭglarevo 2: 170","74074",""
"Vŭglarevo 2: 169","74073",""
"mès’əhme","74072",""
"Vŭglarevo 2: 168","74071",""
"ž’èn’tȅ","74069",""
"m’ès’ət","74070",""
"ž’èn*","74068",""
"Vŭglarevo 2: 167","74067",""
"Vŭglarovo 2: 166","74066",""
"sm’èliš","74065",""
"ìjš","74064",""
"Vŭglarevo 2: 165","74063",""
"Vŭglarevo 2: 164","74062",""
"iskàrəš","74061",""
"prehrànə","74059",""
"Vŭglarevo 2: 163","74060",""
"žitòt","74058",""
"m’èlnicə","74057",""
"m’èliš","74056",""
"Vŭglarevo 2: 162","74055",""
"svàliš","74054",""
"m’è̝liš","74052",""
"Vŭglarovo 2: 161","74053",""
"dà","74051",""
"udèlnu","74050",""
"zitàtə","74048",""
"Vŭglarevo 2: 160","74049",""
"sòrtuve","74047",""
"kəzəldžɤ̀tə","74046",""
"ečemɨ̀kə","74045",""
"Vŭglarovo 2: 159","74044",""
"tùr’əš","74043",""
"Vŭglarevo 2: 158","74042",""
"Vŭglarevo 2: 157","74041",""
"g’òzə","74040",""
"p’è̝d","74039",""
"pregràdenu","74037",""
"Vŭglarevo 2: 156","74038",""
"təkò","74036",""
"Vŭglarevo 2: 155","74035",""
"pregràdi","74034",""
"pregrəd’ènu","74033",""
"dɤ̀sk’i","74032",""
"Vŭglarevo 2: 154","74031",""
"izgrəd’ènu","74030",""
"žɨ̀tu̥tu","74028",""
"Vŭglarevo 2: 153","74029",""
"səhrən’àvə","74027",""
"Vŭglarevo 2: 152","74026",""
"Vŭglarevo 2: 151","74025",""
"sylll s0 l0 /ḷ/","74024","CONDITIONS →›ⓛ Labials›not after labial, CONDITIONS →›ⓢ Stress›unstressed, Phonology →›Consonants →›Historical Slavic Consonants →›syllabic /l/ ⓢ ⓛ ℝ, REALIZATIONS →/as/›/ḷ/"
"sḷ̀nčička","74023",""
"bòlčənci̥ ","74022",""
"Vŭglarevo 2: 150","74021",""
"Vŭglarevo 2: 149","74020",""
"Vŭglarevo 2: 148","74019",""
"nəpràeni","74018",""
"g’òzve","74017",""
"həmbàr’e","74015",""
"Vŭglarevo 2: 147","74016",""
"Vŭglarevo 2: 146","74014",""
"Vŭglarevo 2: 145","74013",""
"sɨ̀pvəme","74012",""
"privèeme","74011",""
"zərnòt","74010",""
"enɤ̀s","74009",""
"t’ič’è̝","74007",""
"Vŭglarevo 2: 144","74008",""
"Vŭglarevo 2: 143","74006",""
"bəškà","74005",""
"t’ič’è","74004",""
"vərtɨ̀me","74003",""
"Vŭglarevo 2: 142","74002",""
"žɨ̀tut","74001",""
"uvè̝m","74000",""
"Vŭglarevo 2: 141","73999",""
"Vŭglarevo 2: 140","73998",""
"v’èt’er","73997",""
"Vŭglarevo 2: 139","73996",""
"udvè̝em","73995",""
"vejàlka","73993",""
"Vŭglarevo 2: 138","73994",""
"Vŭglarevo 2: 137","73992",""
"səber’è̝me","73991",""
"Vŭglarevo 2: 136","73990",""
"pòjd’am","73989",""
"Vŭglarevo 2: 135","73988",""
"dukɤ̀tu","73987",""
"pr’è̝gneti","73985",""
"Vŭglarevo 2: 134","73986",""
"wòlvet","73984",""
"Vŭglarevo 2: 133","73983",""
"ubikàl’ə","73982",""
"krè̝mene","73981",""
"t’è̝ə","73980",""
"Vŭglarevo 2: 132","73979",""
"Vŭglarevo 2: 131","73978",""
"n’è̝","73977",""
"Vŭglarevo 2: 130","73976",""
"sekɤ̀t","73975",""
"Vŭglarevo 2: 129","73974",""
"nəsədɤ̀t","73973",""
"Vŭglarevo 2: 128","73972",""
"Vŭglarevo 2: 127","73971",""
"ənnò","73970",""
"pr’əkàrəli","73969",""
"rəspràjəme","73968",""
"nìj","73967",""
"pre̝t","73965",""
"Vŭglarevo 2: 126","73966",""
"č’ùi","73964",""
"zəpìsvəm","73962",""
"Vŭglarevo 2: 125","73963",""
"Vŭglarevo 2: 124","73961",""
"Vŭglarevo 2: 123","73960",""
"tàjnu","73959",""
"mɤ̀l’čə","73957",""
"Vŭglarevo 2: 122","73958",""
"Vŭglarevo 2: 121","73956",""
"Vŭglarevo 2: 120","73955",""
"èjke","73954",""
"rəzbràh","73953",""
"Vŭglarevo 2: 119","73952",""
"s’è̝lckite","73951",""
"Vŭglarevo 2: 118","73950",""
"lèntə","73949",""
"Vŭglarevo 2: 117","73948",""
"Vŭglarevo 2: 116","73947",""
"Vŭglarevo 2: 115","73946",""
"utədnɤ̀š","73945",""
"jùrnəhme","73944",""
"zətvà","73943",""
"ɨ̀kəm","73942",""
"Vŭglarevo 2: 114","73941",""
"Vŭglarevo 2: 113","73940",""
"rəzbìrəm","73939",""
"sìčkiti","73938",""
"guvòrət","73936",""
"Vŭglarevo 2: 112","73937",""
"sval’ɤ̀","73935",""
"Vŭglarevo 2: 111","73934",""
"Vŭglarevo 2: 110","73933",""
"Vŭglarevo 2: 109","73932",""
"rəzbràhte","73931",""
"zəpɨ̀svə","73930",""
"Vŭglarevo 2: 108","73929",""
"Vŭglarevo 2: 107","73928",""
"zəpɨ̀svəš","73927",""
"Vŭglarevo 2: 106","73926",""
"Vŭglarevo 2: 105","73925",""
"govòrite","73924",""
"d’ùznu","73922",""
"Vŭglarevo 2: 104","73923",""
"Vŭglarevo 2: 103","73921",""
"Vŭglarevo 1: 56","73919",""
"Vŭglarevo 1: 55","73918",""
"umèsila","73917",""
"hùo","73916",""
"fàtəha","73914",""
"Vŭglarevo 1: 54","73915",""
"hl’àbə","73913",""
"pitnàjset","73912",""
"dè̝s’ət","73911",""
"hùrni","73910",""
"Vŭglarevo 1: 53","73909",""
"Vŭglarevo 1: 52","73908",""
"Vŭglarevo 1: 51","73907",""
"hèe","73906",""
"vɨ̀kəhə","73904",""
"Vŭglarevo 1: 50","73905",""
"Vŭglarevo 1: 49","73903",""
"Vŭglarevo 1: 48","73902",""
"prokàpe","73901",""
"hl’àbə","73899",""
"Vŭglarevo 1: 47","73900",""
"izm’èsen","73898",""
"prukàp’ət","73897",""
"gredɨ̀te","73896",""
"m’èsi","73894",""
"Vŭglarevo 1: 46","73895",""
"Vŭglarevo 1: 45","73893",""
"Vŭglarevo 1: 44","73892",""
"prujavì","73891",""
"bulka","73889",""
"Vŭglarevo 1: 43","73890",""
"mlada","73888",""
"izm’èsilə","73887",""
"Vŭglarevo 1: 42","73886",""
"Vŭglarevo 1: 41","73885",""
"izgəč’ìlə","73884",""
"mnòk","73883",""
"Vŭglarevo 1: 40","73882",""
"Vŭglarevo 1: 39","73881",""
"Vŭglarevo 1: 38","73880",""
"znojtà","73879",""
"Vŭglarevo 1: 37","73878",""
"hùbəv**","73877",""
"hùbəv","73876",""
"up’èkəhme","73874",""
"Vŭglarovo 1: 36","73875",""
"g’u","73873",""
"izm’èsih","73872",""
"asəkà","73871",""
"t’è̝knə","73870",""
"znòj","73869",""
"vè̝k’e","73868",""
"Vŭglarevo 1: 35","73867",""
"vm’àstu","73866",""
"Vŭglarevo 1: 34","73865",""
"um’ès’ə","73864",""
"m’ès’ə","73863",""
"m’ès","73861",""
"Vŭglarevo 1: 33","73862",""
"dòrə","73860",""
"ɨ̀dim","73859",""
"iskàrə","73858",""
"Vŭglarevo 1: 32","73857",""
"p’ètər","73856",""
"č’ìč’u","73855",""
"gə","73854",""
"svɤ̀rši","73853",""
"Vŭglarevo 1: 31","73852",""
"dɨ̀gə","73851",""
"Vŭglarevo 1: 30","73850",""
"Vŭglarevo 1: 29","73849",""
"Vŭglarevo 1: 28","73848",""
"gəč’ɨ̀š","73847",""
"ùbəvə","73846",""
"uznuìš","73845",""
"dəkɤ̀t","73844",""
"Vŭglarevo 1: 27","73843",""
"Vŭglarevo 1: 26","73842",""
"gəč’ìm","73841",""
"Vŭglarevo 1: 25","73840",""
"vìkəhte","73839",""
"kàktu","73838",""
"tùr’əme","73836",""
"Vŭglarevo 1: 24","73837",""
"Vŭglarevo 1: 23","73835",""
"iskòpanu","73834",""
"d’ɤ̀rvenu","73832",""
"Vŭglarovo 1: 22","73833",""
"hàs","73831",""
"nuškvɨ̀","73829",""
"Vŭglarevo 1: 21","73830",""
"Vŭglarevo 1: 20","73828",""
"nɤ̀šk’i","73827",""
"nɤ̀ški","73826",""
"di","73824",""
"Vŭglarevo 1: 19","73825",""
"Vŭglarevo 1: 18","73823",""
"kurɨ̀tɨšte","73822",""
"Vŭglarevo 1: 17","73821",""
"Vŭglarevo 1: 16","73820",""
"Vŭglarevo 1: 15","73819",""
"Vŭglarevo 1: 14","73818",""
"Vŭglarevo 1: 13","73817",""
"rəc’ète","73816",""
"Vŭglarevo 1: 12","73815",""
"Vŭglarevo 1: 11","73814",""
"ftàsə","73813",""
"gà","73812",""
"Vŭglarevo 1: 10","73811",""
"Vŭglarevo 1: 9","73810",""
"um’èsi̥me","73809",""
"Vŭglarevo 1: 8","73808",""
"Vŭglarevo 1: 7","73807",""
"Vŭglarevo 1: 6","73806",""
"srùnkə","73805",""
"utcèim","73804",""
"zɨ̀mət","73803",""
"zabràili","73801",""
"Vŭglarevo 1: 5","73802",""
"Vŭglarevo 1: 4","73800",""
"spec’àlnu","73799",""
"Vŭglarevo 1: 3","73798",""
"pàk","73797",""
"g’òz","73795",""
"Vŭglarevo 1: 2","73796",""
"g’ò","73794",""
"hambàr’a","73793",""
"dəržìte","73791",""
"Vŭglarevo 1: 1","73792",""
"jèretətə","73790",""
"dubulèj","73788",""
"Trŭnčovica 2: 97","73789",""
"zəbul’àlə","73787",""
"Trŭnčovica 2: 96","73786",""
"mɤ̀nenka","73785",""
"iskàrələ","73784",""
"teglɨ̀lu","73783",""
"Trŭnčovica 2: 95","73782",""
"Trŭnčovica 2: 94","73781",""
"dudè̟","73780",""
"Trŭnčovica 2: 93","73779",""
"Trŭnčovica 2: 92","73778",""
"lè̟l’ə","73777",""
"tè̟tkə","73776",""
"smen’àvəjmi","73774",""
"Trŭnčovica 2: 91","73775",""
"òtkus","73773",""
"pijàvicite","73771",""
"Trŭnčovica 2: 90","73772",""
"kusɤ̀tə","73770",""
"mànə","73769",""
"Trŭnčovica 2: 89","73768",""
"àž","73767",""
"pijàvici","73765",""
"Trŭnčovica 2: 88","73766",""
"vəžà","73764",""
"pijàvɨci","73763",""
"nəvɤ̀ržəm","73762",""
"Trŭnčovica 2: 87","73761",""
"čuv’àkə","73760",""
"lè̝ču̥","73759",""
"Trŭnčovica 2: 86","73758",""
"vɤ̀ržete","73757",""
"kušɨ̀tətə","73756",""
"səbɨ̀rəte","73755",""
"kusɨ̀","73754",""
"Trŭnčovica 2: 85","73753",""
"məčète","73752",""
"žè̟netә̥","73750",""
"Trŭnčovica 2: 84","73751",""
"prevè̟denə","73749",""
"Trŭnčovica 2: 83","73748",""
"kusɤ̀","73747",""
"Trŭnčovica 2: 82","73746",""
"kusɨ̀š","73745",""
"òtkusə","73744",""
"d’è̟","73743",""
"kusɨ̀","73742",""
"ševerɨ̀gɨ","73740",""
"Trŭnčovica 2: 81","73741",""
"Vŭglarevo 2: 102","73739",""
"umàčkə","73738",""
"žɨ̀ttu","73736",""
"Vŭglarevo 2: 101","73737",""
"i","73735",""
"Vŭglarevo 2: 100","73734",""
"bəndrùkə","73733",""
"Vŭglarevo 2: 99","73732",""
"ševarɨ̀gɨ","73731",""
"kušɨ̀tə","73730",""
"pukrɨ̀tə","73729",""
"òluvetu","73727",""
"Vŭglarevo 2: 98","73728",""
"fpr’è̝gneš","73726",""
"žè̝l’ezni","73725",""
"rèžət","73723",""
"Vŭglarevo 2: 97","73724",""
"go","73722",""
"žəlzàtə","73721",""
"č’uvìjki","73719",""
"Vŭglarevo 2: 96","73720",""
"Vŭglarevo 2: 95","73718",""
"govòrite","73717",""
"mòl’a","73716",""
"və","73715",""
"Vŭglarevo 2: 94","73714",""
"Vŭglarevo 2: 93","73713",""
"kulindrà","73712",""
"kulindrò","73711",""
"Vŭglarevo 2: 92","73710",""
"Vŭglarevo 2: 91","73709",""
"Vŭglarevo 2: 90","73708",""
"nəprɤ̀skəš","73707",""
"Vŭglarevo 2: 89","73706",""
"Vŭglarevo 2: 88","73705",""
"Vŭglarevo 2: 87","73704",""
"tərkàl’əš","73703",""
"d’ỳznu","73702",""
"Vŭglarevo 2: 86","73701",""
"Vŭglarevo 2: 85","73700",""
"Vŭglarevo 2: 84","73699",""
"Vŭglarevo 2: 83","73698",""
"s’àko","73697",""
"Vŭglarevo 2: 82","73696",""
"jat root s0 pal0 c0 /’ɤ/","73695","CONDITIONS →›ⓒ Affricate /c/›not after /c/, CONDITIONS →›ⓜ Morpheme Type›root, CONDITIONS →›ⓟ Palatalizing Environment›no palatalizing environment, CONDITIONS →›ⓢ Stress›unstressed, Phonology →›Vowels →›Historical Slavic Vowels →›jat ⓜ ⓢ ⓟ ⓒ ℝ, REALIZATIONS →/as/›/’ɤ/"
"ins jer s0 /’ɤ/","73694","CONDITIONS →›ⓢ Stress›unstressed, Phonology →›Vowels →›Historical Slavic Vowels →›inserted jer ⓢ ℝ, REALIZATIONS →/as/›/’ɤ/"
"Trŭnčovica 2: 80","73693",""
"vɤ̀r.zemì","73692",""
"z’è","73691",""
"kusɨ̀m","73690",""
"sè̟tne","73688",""
"Trŭnčovica 2: 79","73689",""
"prekàrvələ","73687",""
"Trŭnčovica 2: 78","73686",""
"Trŭnčovica 2: 77","73685",""
"rɨ̀zə","73684",""
"urɨ̀","73683",""
"gòrnutu","73682",""
"vərlɨ̀","73681",""
"čìčɨ̥","73679",""
"Trŭnčovica 2: 76","73680",""
"uperè̟","73678",""
"debè̟li","73676",""
"Trŭnčovica 2: 75","73677",""
"rɨ̀zɨ","73675",""
"təkàni","73674",""
"Trŭnčovica 2: 74","73673",""
"bəsmɤ̀","73671",""
"sɨ̀nə","73670",""
"ušɨ̀lə","73669",""
"Trŭnčovica 2: 73","73668",""
"drèjə","73667",""
"edn","73666",""
"vɤ̀rzə","73665",""
"Trŭnčovica 2: 72","73663",""
"sè̟","73662",""
"tè̟","73661",""
"kàl","73660",""
"bleštùkət","73658",""
"Trŭnčovica 2: 71","73659",""
"učɨ̀te","73657",""
"c’àlətə","73656",""
"bàmnəw","73655",""
"kaa","73653",""
"Trŭnčovica 2: 70","73654",""
"kət","73652",""
"vərɤ̀t","73651",""
"ukàl’ɤni","73650",""
"biul’àtə","73648",""
"Trŭnčovica 2: 69","73649",""
"unəkàl’am","73647",""
"zəkàrəš","73645",""
"Trŭnčovica 2: 68","73646",""
"nəpoìm","73644",""
"lòkvə","73642",""
"Trŭnčovica 2: 67","73643",""
"n’àkɨde","73641",""
"ukàl’əme","73640",""
"Trŭnčovica 2: 66","73639",""
"Trŭnčovica 2: 65","73638",""
"nè̟mə","73637",""
"Trŭnčovica 2: 64","73636",""
"nikòlə","73635",""
"Trŭnčovica 2: 63","73634",""
"pùsnəjme","73633",""
"uràjme","73632",""
"Trŭnčovica 2: 62","73631",""
"umurɨ̀lə","73630",""
"ne*","73629",""
"Trŭnčovica 2: 61","73628",""
"ednòtu","73627",""
"ustài","73626",""
"rečɤ̀","73625",""
"òluvet","73623",""
"Vŭglarevo 2: 81","73624",""
"fkàrəš","73622",""
"togàf","73621",""
"Vŭglarevo 2: 80","73620",""
"Vŭglarevo 2: 79","73619",""
"rəsvɤ̀rzuvəš","73618",""
"Vŭglarevo 2: 78","73617",""
"Vŭglarevo 2: 77","73616",""
"rəzvɤ̀rzuvə","73615",""
"počvəš","73614",""
"Vŭglarevo 2: 76","73613",""
"nəs’àdəme","73612",""
"продан","73611",""
"бубахак","73610",""
"бол","73609",""
"перо","73608",""
"стаичка","73607",""
"Vŭglarevo 2: 75","73606",""
"Vŭglarevo 2: 74","73605",""
"òbəlku","73604",""
"Vŭglarevo 2: 73","73603",""
"Vŭglarevo 2: 72","73602",""
"òblu","73601",""
"wòt’","73600",""
"hərmàn’","73599",""
"hərmàn’i","73597",""
"Vŭglarevo 2: 71","73598",""
"ìkəhmi","73596",""
"Vŭglarevo 2: 70","73595",""
"Vŭglarevo 2: 69","73594",""
"Vŭglarevo 2: 68","73593",""
"pluštàtkə","73592",""
"Vŭglarevo 2: 67","73591",""
"harman","73590",""
"Vŭglarevo 2: 66","73589",""
"Vŭglarevo 2: 65","73588",""
"Vŭglarevo 2: 64","73587",""
"Vŭglarevo 2: 63","73586",""
"armàn’ə","73585",""
"təkɤ̀utu","73584",""
"vərš’è̝jme","73582",""
"Vŭglarevo 2: 62","73583",""
"Vŭglarevo 2: 61","73581",""
"Vŭglarevo 2: 60","73580",""
"kəmàrɨ","73579",""
"isklàvəd","73578",""
"ərmàn’ə","73577",""
"dɨ̀gəme","73576",""
"s’è̝tne","73575",""
"dəždɤ̀","73573",""
"Vŭglarevo 2: 59","73574",""
"Vŭglarovo 2: 58","73572",""
"ɨ̀","73571",""
"kvàsit","73570",""
"nəl’òə","73568",""
"Vŭglarovo 2: 57","73569",""
"krɤ̀sci","73567",""
"d’è̝vet’","73565",""
"Vŭglarevo 2: 56","73566",""
"šè̝s","73564",""
"p’è̝t","73563",""
"trùpəš","73562",""
"Vŭglarevo 2: 55","73561",""
"vɤ̀rnes","73560",""
"ž’è̝n’iš’","73559",""
"Vŭglarevo 2: 54","73558",""
"Vŭglarevo 2: 53","73557",""
"l’àhə","73556",""
"hàtəš","73555",""
"čəkɤ̀m","73554",""
"Vŭglarevo 2: 52","73553",""
"Trŭnčovica 2: 60","73552",""
"smèjə","73551",""
"umorɨ̀lə","73550",""
"Vŭglarevo 2: 51","73549",""
"ž’è̝niž","73548",""
"Trŭnčovica 2: 59","73547",""
"čìčɨ","73546",""
"jàdejme","73545",""
"nəpùsnəjme","73543",""
"Trŭnčovica 2: 58","73544",""
"urè","73542",""
"urəlàta","73541",""
"uprè̟gnətɨ","73540",""
"bɨ̀vulete","73539",""
"jadè̟m","73537",""
"Trŭnčovica 2: 57","73538",""
"vulòvete","73536",""
"prè̟","73535",""
"Trŭnčovica 2: 56","73534",""
"jədè̟m","73533",""
"edinàes","73532",""
"zàrən","73530",""
"Trŭnčovica 2: 55","73531",""
"jàdeli","73529",""
"ədè̟m","73528",""
"čiči","73527",""
"Trŭnčovica 2: 54","73526",""
"nədzàt","73525",""
"nəpr’àt","73524",""
"urè̟m","73522",""
"Trŭnčovica 2: 53","73523",""
"uprè̟gne","73521",""
"čìči","73520",""
"Trŭnčovica 2: 52","73519",""
"imòt","73518",""
"dòmə","73517",""
"səbrànɨ","73516",""
"Trŭnčovica 2: 51","73515",""
"mnògu*","73514",""
"imàjme","73513",""
"s’àkvu","73512",""
"burčàk","73511",""
"grà","73510",""
"fìj","73509",""
"Trŭnčovica 2: 50","73508",""
"vɨ̀də","73507",""
"dòdə","73506",""
"puurè̟te","73505",""
"ànželə","73503",""
"Trŭnčovica 2: 49","73504",""
"ži","73502",""
"plùgə","73501",""
"dɨ̀gneš","73499",""
"Trŭnčovica 2: 48","73500",""
"nèču","73498",""
"Trŭnčovica 2: 47","73497",""
"nè̟ču","73496",""
"čurbədžìjə","73495",""
"lɤ̀ga","73494",""
"Trŭnčovica 2: 46","73493",""
"džəmbəzlɤ̀k","73492",""
"čurbədžỳvə","73491",""
"ubɨ̀čə","73490",""
"bəštà","73489",""
"svɤ̀ršɨ","73488",""
"ìkəhme","73486",""
"Vŭglarovo 2: 50","73487",""
"sərpɤ̀","73485",""
"ž’eniš","73484",""
"vərɨ̀š","73483",""
"ìməxte","73481",""
"Vŭglarevo 2: 49","73482",""
"pudrèždəxti","73480",""
"Vŭglarevo 2: 48","73479",""
"Vŭglarevo 2: 47","73478",""
"t’èšku","73477",""
"mɤ̀ki","73476",""
"Vŭglarevo 2: 46","73475",""
"Vŭglarevo 2: 45","73474",""
"odv’àvə","73473",""
"vejàlkətə","73471",""
"Vŭglarevo 2: 44","73472",""
"Vŭglarevo 2: 43","73470",""
"vejè","73469",""
"vejàlkə","73468",""
"rɤkə","73466",""
"Vŭglarovo 2: 42","73467",""
"veiš","73465",""
"Vŭglarevo 2: 41","73464",""
"Vŭglarevo 2: 40","73463",""
"kupɤ̀","73462",""
"vuɨnɤ̀","73460",""
"Trŭnčovica 2: 45","73461",""
"srɤ̀psku.bɤ̀lgərskətə","73459",""
"puslèdnətə","73458",""
"vè̟ke","73457",""
"žɨ̀tu","73455",""
"Vŭglarevo 2: 39","73456",""
"sm’è̝l’i","73454",""
"dəkɤ̀d","73453",""
"urəlà","73451",""
"Trŭnčovica 2: 44","73452",""
"dɨ̀gnə","73450",""
"pàstrok","73449",""
"puizràstej","73448",""
"Vŭglarovo 2: 38","73447",""
"vərš’èm","73446",""
"fpr’ègnəti","73445",""
"òlvet","73444",""
"dikànətə","73443",""
"sədɨ̀m","73442",""
"Vŭglarevo 2: 37","73441",""
"Trŭnčovica 2: 43","73440",""
"ùtre","73439",""
"dnè̟s","73438",""
"nəkuvàni","73436",""
"Vŭglarevo 2: 36","73437",""
"kr’è̝mene","73435",""
"ftòri","73433",""
"Vŭglarevo 2: 35","73434",""
"Trŭnčovica 2: 42","73432",""
"mɨ̀","73431",""
"Vŭglarevo 2: 34","73430",""
"dv’è̝","73429",""
"Trŭnčovica 2: 41","73428",""
"ubàdi","73427",""
"smèe","73426",""
"Vŭglarevo 2: 33","73424",""
"Vŭglarevo 2: 32","73423",""
"gudɨ̀šen","73422",""
"dikàni","73420",""
"Vŭglarevo 2: 31","73421",""
"Vŭglarevo 2: 30","73419",""
"dikàn’te","73418",""
"spòmn’əm","73416",""
"Vŭglarevo 2: 29","73417",""
"smɤ̀tno","73415",""
"mɤ̀tnu","73414",""
"səvsèm","73413",""
"Vŭglarevo 2: 28","73412",""
"Vŭglarevo 2: 27","73411",""
"Vŭglarevo 2: 26","73410",""
"pòmnit’e","73409",""
"Vŭglarevo 2: 25","73408",""
"Vŭglarevo 2: 24","73407",""
"vɤ̀rši","73406",""
"hərmàni","73405",""
"Vŭglarevo 2: 23","73404",""
"Vŭglarevo 2: 22","73403",""
"vr’è̝m’e","73402",""
"Vŭglarevo 2: 21","73401",""
"Vŭglarevo 2: 20","73400",""
"zàənu","73399",""
"sɨ̀čkut","73398",""
"pepelɤ̀","73397",""
"l’àgəj","73396",""
"umɨ̀jm’ə","73395",""
"ìdem","73394",""
"Vŭglarevo 2: 19","73393",""
"umɨ̀eš","73392",""
"nìmə","73391",""
"p’è̝k","73390",""
"Vŭglarevo 2: 18","73389",""
"Vŭglarevo 2: 17","73388",""
"sərpvètu","73387",""
"Vŭglarevo 2: 16","73386",""
"r’è̝žəd","73385",""
"mɨ̀šnɨcɨ","73384",""
"prɨtrɨ̀vət","73383",""
"Vŭglarevo 2: 15","73382",""
"Vŭglarevo 2: 14","73381",""
"rɨ̀zɨ","73380",""
"deb’è̝li","73379",""
"ž’ènəli","73378",""
"oho","73376",""
"Vŭglarevo 2: 13","73377",""
"Vŭglarevo 2: 12","73375",""
"Vŭglarevo 2: 11","73374",""
"ɨkət","73373",""
"rəspràvəm","73372",""
"Vŭglarevo 2: 10","73371",""
"Vŭglarevo 2: 9","73370",""
"Vŭglarevo 2: 8","73369",""
"ràbutili","73368",""
"vijàčki","73366",""
"Vŭglarevo 2: 7","73367",""
"Vŭglarevo 2: 6","73365",""
"kombàjni","73364",""
"Vŭglarevo 2: 5","73363",""
"Vŭglarevo 2: 4","73362",""
"Vŭglarevo 2: 3","73361",""
"Vŭglarevo 2: 2","73360",""
"gòvor","73359",""
"spòmn’əte","73357",""
"Vŭglarevo 2: 1","73358",""
"rəskàžeš","73356",""
"màslenu","73355",""
"punətkàiš","73354",""
"čùmo","73352",""
"Trjavna: 260","73353",""
"Trjavna: 259","73351",""
"Trjavna: 258","73350",""
"Trjavna: 257","73349",""
"Trjavna: 256","73348",""
"dobrì","73347",""
"Trjavna: 255","73346",""
"Trjavna: 254","73345",""
"ùmno","73344",""
"Trjavna: 253","73343",""
"Trjavna: 252","73342",""
"Trjavna: 251","73341",""
"čuv’èka","73340",""
"prijàtnu","73339",""
"kuzìt’e","73338",""
"prijàtni","73336",""
"Trjavna: 250","73337",""
"Trjavna: 249","73335",""
"zvɤnčèta","73334",""
"zvənčètə","73332",""
"Trjavna: 248","73333",""
"Trjavna: 247","73331",""
"na*","73330",""
"Trjavna: 246","73329",""
"ìmə","73328",""
"slàgəli","73326",""
"Trjavna: 245","73327",""
"Trjavna: 244","73325",""
"Trjavna: 243","73324",""
"Trjavna: 242","73323",""
"Trjavna: 241","73322",""
"zvəncì","73321",""
"Trjavna: 240","73320",""
"Trjavna: 239","73319",""
"Trjavna: 238","73318",""
"Trjavna: 237","73317",""
"Trjavna: 236","73316",""
"dumàt’encə","73315",""
"iskàrvəmi","73314",""
"kràstəvici","73313",""
"Trjavna: 235","73312",""
"kərtòf","73311",""
"izgur’à","73310",""
"Trjavna: 234","73309",""
